CustomerID,FirstName,LastName,Email,Phone,City,State,Segment,JoinDate,Status
CUST000001,Ananya,Sharma,ananya.sharma1@mail.com,9362950628,Pune,Maharashtra,Corporate,22-05-2024,Active
CUST000002,Rohit,Das,rohit.das2@mail.com,9134126396,Kolkata,West Bengal,Retail,05-04-2024,Active
CUST000003,Arjun,Kumar,arjun.kumar3@mail.com,9702632297,Hyderabad,Telangana,Corporate,27-10-2025,Inactive
CUST000004,Arjun,Iyer,arjun.iyer4@mail.com,9969119330,Pune,Maharashtra,Retail,12-06-2024,Inactive
CUST000005,Isha,Singh,isha.singh5@mail.com,9331191390,Delhi,Delhi,SMB,14-04-2024,Active
CUST000006,Aditya,Verma,aditya.verma6@mail.com,9469319644,Chennai,Tamil Nadu,SMB,14-02-2024,Inactive
CUST000007,Ananya,Nair,ananya.nair7@mail.com,9692749116,Mumbai,Maharashtra,SMB,05-10-2025,Inactive
CUST000008,Sneha,Joshi,sneha.joshi8@mail.com,9149203558,Mumbai,Maharashtra,Corporate,23-10-2024,Active
CUST000009,Arjun,Verma,arjun.verma9@mail.com,9398471886,Kolkata,West Bengal,Enterprise,12-10-2025,Inactive
CUST000010,Rahul,Gupta,rahul.gupta10@mail.com,9324956459,Chennai,Tamil Nadu,SMB,30-11-2025,Active
CUST000011,Rahul,Kumar,rahul.kumar11@mail.com,9275452091,Bengaluru,Karnataka,Enterprise,23-01-2025,Inactive
CUST000012,Arjun,Yadav,arjun.yadav12@mail.com,9924970419,Chennai,Tamil Nadu,Retail,22-08-2024,Active
CUST000013,Isha,Nair,isha.nair13@mail.com,9171069472,Pune,Maharashtra,Corporate,03-08-2025,Inactive
CUST000014,Sneha,Yadav,sneha.yadav14@mail.com,9524806516,Ahmedabad,Gujarat,Enterprise,26-05-2024,Inactive
CUST000015,Priya,Reddy,priya.reddy15@mail.com,9902099969,Pune,Maharashtra,Enterprise,20-08-2025,Inactive
CUST000016,Meera,Reddy,meera.reddy16@mail.com,9647099690,Delhi,Delhi,Enterprise,03-04-2024,Active
CUST000017,Ananya,Patel,ananya.patel17@mail.com,9950488739,Delhi,Delhi,Enterprise,02-09-2025,Active
CUST000018,Aditya,Nair,aditya.nair18@mail.com,9668132202,Ahmedabad,Gujarat,SMB,20-07-2025,Active
CUST000019,Ananya,Yadav,ananya.yadav19@mail.com,9925276600,Pune,Maharashtra,SMB,24-04-2024,Inactive
CUST000020,Riya,Patel,riya.patel20@mail.com,9103484630,Ahmedabad,Gujarat,SMB,27-05-2025,Active
CUST000021,Ananya,Yadav,ananya.yadav21@mail.com,9786066793,Pune,Maharashtra,Corporate,05-06-2024,Inactive
CUST000022,Rahul,Kumar,rahul.kumar22@mail.com,9743111853,Hyderabad,Telangana,SMB,15-05-2025,Active
CUST000023,Ananya,Gupta,ananya.gupta23@mail.com,9357109965,Pune,Maharashtra,Retail,03-09-2024,Active
CUST000024,Rohit,Joshi,rohit.joshi24@mail.com,9976198296,Ahmedabad,Gujarat,Retail,29-06-2025,Active
CUST000025,Priya,Yadav,priya.yadav25@mail.com,9690347116,Ahmedabad,Gujarat,Corporate,28-09-2024,Inactive
CUST000026,Sneha,Kumar,sneha.kumar26@mail.com,9865523129,Bengaluru,Karnataka,SMB,12-02-2025,Inactive
CUST000027,Sanjay,Kumar,sanjay.kumar27@mail.com,9229927269,Ahmedabad,Gujarat,Corporate,18-08-2024,Active
CUST000028,Isha,Sharma,isha.sharma28@mail.com,9731832764,Bengaluru,Karnataka,Corporate,08-01-2024,Active
CUST000029,Vivaan,Reddy,vivaan.reddy29@mail.com,9133729406,Mumbai,Maharashtra,SMB,13-03-2024,Active
CUST000030,Neha,Yadav,neha.yadav30@mail.com,9330035022,Ahmedabad,Gujarat,Corporate,07-08-2025,Inactive
CUST000031,Arjun,Iyer,arjun.iyer31@mail.com,9304451095,Kolkata,West Bengal,Retail,09-04-2024,Inactive
CUST000032,Meera,Nair,meera.nair32@mail.com,9601463916,Kolkata,West Bengal,Retail,20-11-2025,Active
CUST000033,Vivaan,Nair,vivaan.nair33@mail.com,9959629660,Chennai,Tamil Nadu,Retail,11-09-2024,Active
CUST000034,Sneha,Kumar,sneha.kumar34@mail.com,9250519597,Ahmedabad,Gujarat,Enterprise,06-07-2024,Inactive
CUST000035,Sanjay,Reddy,sanjay.reddy35@mail.com,9575808013,Mumbai,Maharashtra,Retail,21-02-2024,Active
CUST000036,Rohit,Reddy,rohit.reddy36@mail.com,9536383774,Delhi,Delhi,Enterprise,07-05-2025,Active
CUST000037,Aditya,Sharma,aditya.sharma37@mail.com,9506919288,Delhi,Delhi,Retail,03-02-2025,Inactive
CUST000038,Sanjay,Singh,sanjay.singh38@mail.com,9847959430,Kolkata,West Bengal,Enterprise,07-06-2024,Active
CUST000039,Karan,Reddy,karan.reddy39@mail.com,9721890096,Hyderabad,Telangana,Retail,17-11-2024,Active
CUST000040,Vivaan,Das,vivaan.das40@mail.com,9639931481,Ahmedabad,Gujarat,Corporate,28-02-2024,Active
CUST000041,Rahul,Verma,rahul.verma41@mail.com,9825003955,Mumbai,Maharashtra,Corporate,17-02-2025,Active
CUST000042,Arjun,Das,arjun.das42@mail.com,9765055833,Hyderabad,Telangana,Retail,05-03-2025,Inactive
CUST000043,Neha,Reddy,neha.reddy43@mail.com,9356287095,Chennai,Tamil Nadu,SMB,09-02-2025,Active
